Type,Sentence,Grammatical,Region Start,Region End,Is Training
<S_FG>,I know who Nicole's current attitude towards bothered recently,True,54,62,True
<S_FG>,I know who Eric's current attitude towards bothered recently,True,52,60,True
<S_FG>,I know who Melissa's current attitude towards bothered recently,True,55,63,True
<S_FG>,I know who Timothy's current attitude towards bothered recently,True,55,63,True
<S_FG>,I know who Michael's recent friendship with bothered recently,True,53,61,True
<S_FG>,I know who Ashley's recent friendship with bothered recently,True,52,60,True
<S_FG>,I know who Daniel's recent friendship with bothered recently,True,52,60,True
<S_FG>,I know who John's recent friendship with bothered recently,True,50,58,True
<S_FG>,I know who Brandon's recent friendship with bothered recently,True,53,61,True
<S_FG>,I know who William's recent friendship with bothered recently,True,53,61,True
<S_FG>,I know who Nicole's recent friendship with bothered recently,True,52,60,True
<S_FG>,I know who Eric's recent friendship with bothered recently,True,50,58,True
<S_FG>,I know who Melissa's recent friendship with bothered recently,True,53,61,True
<S_FG>,I know who Timothy's recent friendship with bothered recently,True,53,61,True
<S_FG>,I know who Michael's current friendship with bothered recently,True,54,62,True
<S_FG>,I know who Ashley's current friendship with bothered recently,True,53,61,True
<S_FG>,I know who Daniel's current friendship with bothered recently,True,53,61,True
<S_FG>,I know who John's current friendship with bothered recently,True,51,59,True
<S_FG>,I know who Brandon's current friendship with bothered recently,True,54,62,True
<S_FG>,I know who William's current friendship with bothered recently,True,54,62,True
<S_FG>,I know who Nicole's current friendship with bothered recently,True,53,61,True
<S_FG>,I know who Eric's current friendship with bothered recently,True,51,59,True
<S_FG>,I know who Melissa's current friendship with bothered recently,True,54,62,True
<S_FG>,I know who Timothy's current friendship with bothered recently,True,54,62,True
<S_FG>,I know who Michael's recent praising of bothered recently,True,49,57,True
<S_FG>,I know who Ashley's recent praising of bothered recently,True,48,56,True
<S_FG>,I know who Daniel's recent praising of bothered recently,True,48,56,True
<S_FG>,I know who John's recent praising of bothered recently,True,46,54,True
<S_FG>,I know who Brandon's recent praising of bothered recently,True,49,57,True
<S_FG>,I know who William's recent praising of bothered recently,True,49,57,True
<S_FG>,I know who Nicole's recent praising of bothered recently,True,48,56,True
<S_FG>,I know who Eric's recent praising of bothered recently,True,46,54,True
<S_FG>,I know who Melissa's recent praising of bothered recently,True,49,57,True
<S_FG>,I know who Timothy's recent praising of bothered recently,True,49,57,True
<S_FG>,I know who Michael's current praising of bothered recently,True,50,58,True
<S_FG>,I know who Ashley's current praising of bothered recently,True,49,57,True
<S_FG>,I know who Daniel's current praising of bothered recently,True,49,57,True
<S_FG>,I know who John's current praising of bothered recently,True,47,55,True
<S_FG>,I know who Brandon's current praising of bothered recently,True,50,58,True
<S_FG>,I know who William's current praising of bothered recently,True,50,58,True
<S_FG>,I know who Nicole's current praising of bothered recently,True,49,57,True
<S_FG>,I know who Eric's current praising of bothered recently,True,47,55,True
<S_FG>,I know who Melissa's current praising of bothered recently,True,50,58,True
<S_FG>,I know who Timothy's current praising of bothered recently,True,50,58,True
<S_FG>,I know who Michael's recent talking to distracted recently,True,50,58,True
<S_FG>,I know who Ashley's recent talking to distracted recently,True,49,57,True
<S_FG>,I know who Daniel's recent talking to distracted recently,True,49,57,True
<S_FG>,I know who John's recent talking to distracted recently,True,47,55,True
<S_FG>,I know who Brandon's recent talking to distracted recently,True,50,58,True
<S_FG>,I know who William's recent talking to distracted recently,True,50,58,True
<S_FG>,I know who Nicole's recent talking to distracted recently,True,49,57,True
<S_FG>,I know who Eric's recent talking to distracted recently,True,47,55,True
<S_FG>,I know who Melissa's recent talking to distracted recently,True,50,58,True
<S_FG>,I know who Timothy's recent talking to distracted recently,True,50,58,True
<S_FG>,I know who Michael's current talking to distracted recently,True,51,59,True
<S_FG>,I know who Ashley's current talking to distracted recently,True,50,58,True
<S_FG>,I know who Daniel's current talking to distracted recently,True,50,58,True
<S_FG>,I know who John's current talking to distracted recently,True,48,56,True
<S_FG>,I know who Brandon's current talking to distracted recently,True,51,59,True
<S_FG>,I know who William's current talking to distracted recently,True,51,59,True
<S_FG>,I know who Nicole's current talking to distracted recently,True,50,58,True
<S_FG>,I know who Eric's current talking to distracted recently,True,48,56,True
<S_FG>,I know who Melissa's current talking to distracted recently,True,51,59,True
<S_FG>,I know who Timothy's current talking to distracted recently,True,51,59,True
<S_FG>,I know who Michael's recent attitude towards distracted recently,True,56,64,True
<S_FG>,I know who Ashley's recent attitude towards distracted recently,True,55,63,True
<S_FG>,I know who Daniel's recent attitude towards distracted recently,True,55,63,True
<S_FG>,I know who John's recent attitude towards distracted recently,True,53,61,True
<S_FG>,I know who Brandon's recent attitude towards distracted recently,True,56,64,True
<S_FG>,I know who William's recent attitude towards distracted recently,True,56,64,True
<S_FG>,I know who Nicole's recent attitude towards distracted recently,True,55,63,True
<S_FG>,I know who Eric's recent attitude towards distracted recently,True,53,61,True
<S_FG>,I know who Melissa's recent attitude towards distracted recently,True,56,64,True
<S_FG>,I know who Timothy's recent attitude towards distracted recently,True,56,64,True
<S_FG>,I know who Michael's current attitude towards distracted recently,True,57,65,True
<S_FG>,I know who Ashley's current attitude towards distracted recently,True,56,64,True
<S_FG>,I know who Daniel's current attitude towards distracted recently,True,56,64,True
<S_FG>,I know who John's current attitude towards distracted recently,True,54,62,True
<S_FG>,I know who Brandon's current attitude towards distracted recently,True,57,65,True
<S_FG>,I know who William's current attitude towards distracted recently,True,57,65,True
<S_FG>,I know who Nicole's current attitude towards distracted recently,True,56,64,True
<S_FG>,I know who Eric's current attitude towards distracted recently,True,54,62,True
<S_FG>,I know who Melissa's current attitude towards distracted recently,True,57,65,True
<S_FG>,I know who Timothy's current attitude towards distracted recently,True,57,65,True
<S_FG>,I know who Michael's recent friendship with distracted recently,True,55,63,True
<S_FG>,I know who Ashley's recent friendship with distracted recently,True,54,62,True
<S_FG>,I know who Daniel's recent friendship with distracted recently,True,54,62,True
<S_FG>,I know who John's recent friendship with distracted recently,True,52,60,True
<S_FG>,I know who Brandon's recent friendship with distracted recently,True,55,63,True
<S_FG>,I know who William's recent friendship with distracted recently,True,55,63,True
<S_FG>,I know who Nicole's recent friendship with distracted recently,True,54,62,True
<S_FG>,I know who Eric's recent friendship with distracted recently,True,52,60,True
<S_FG>,I know who Melissa's recent friendship with distracted recently,True,55,63,True
<S_FG>,I know who Timothy's recent friendship with distracted recently,True,55,63,True
<S_FG>,I know who Michael's current friendship with distracted recently,True,56,64,True
<S_FG>,I know who Ashley's current friendship with distracted recently,True,55,63,True
<S_FG>,I know who Daniel's current friendship with distracted recently,True,55,63,True
<S_FG>,I know who John's current friendship with distracted recently,True,53,61,True
<S_FG>,I know who Brandon's current friendship with distracted recently,True,56,64,True
<S_FG>,I know who William's current friendship with distracted recently,True,56,64,True
<S_FG>,I know who Nicole's current friendship with distracted recently,True,55,63,True
<S_FG>,I know who Eric's current friendship with distracted recently,True,53,61,True
<S_FG>,I know who Melissa's current friendship with distracted recently,True,56,64,True
<S_FG>,I know who Timothy's current friendship with distracted recently,True,56,64,True
<S_FG>,I know who Michael's recent praising of distracted recently,True,51,59,True
<S_FG>,I know who Ashley's recent praising of distracted recently,True,50,58,True
<S_FG>,I know who Daniel's recent praising of distracted recently,True,50,58,True
<S_FG>,I know who John's recent praising of distracted recently,True,48,56,True
<S_FG>,I know who Brandon's recent praising of distracted recently,True,51,59,True
<S_FG>,I know who William's recent praising of distracted recently,True,51,59,True
<S_FG>,I know who Nicole's recent praising of distracted recently,True,50,58,True
<S_FG>,I know who Eric's recent praising of distracted recently,True,48,56,True
<S_FG>,I know who Melissa's recent praising of distracted recently,True,51,59,True
<S_FG>,I know who Timothy's recent praising of distracted recently,True,51,59,True
<S_FG>,I know who Michael's current praising of distracted recently,True,52,60,True
<S_FG>,I know who Ashley's current praising of distracted recently,True,51,59,True
<S_FG>,I know who Daniel's current praising of distracted recently,True,51,59,True
<S_FG>,I know who John's current praising of distracted recently,True,49,57,True
<S_FG>,I know who Brandon's current praising of distracted recently,True,52,60,True
<S_FG>,I know who William's current praising of distracted recently,True,52,60,True
<S_FG>,I know who Nicole's current praising of distracted recently,True,51,59,True
<S_FG>,I know who Eric's current praising of distracted recently,True,49,57,True
<S_FG>,I know who Melissa's current praising of distracted recently,True,52,60,True
<S_FG>,I know who Timothy's current praising of distracted recently,True,52,60,True
<S_FG>,I know who Michael's recent talking to worried recently,True,47,55,True
<S_FG>,I know who Ashley's recent talking to worried recently,True,46,54,True
<S_FG>,I know who Daniel's recent talking to worried recently,True,46,54,True
<S_FG>,I know who John's recent talking to worried recently,True,44,52,True
<S_FG>,I know who Brandon's recent talking to worried recently,True,47,55,True
<S_FG>,I know who William's recent talking to worried recently,True,47,55,True
<S_FG>,I know who Nicole's recent talking to worried recently,True,46,54,True
<S_FG>,I know who Eric's recent talking to worried recently,True,44,52,True
<S_FG>,I know who Melissa's recent talking to worried recently,True,47,55,True
<S_FG>,I know who Timothy's recent talking to worried recently,True,47,55,True
<S_FG>,I know who Michael's current talking to worried recently,True,48,56,True
<S_FG>,I know who Ashley's current talking to worried recently,True,47,55,True
<S_FG>,I know who Daniel's current talking to worried recently,True,47,55,True
<S_FG>,I know who John's current talking to worried recently,True,45,53,True
<S_FG>,I know who Brandon's current talking to worried recently,True,48,56,True
<S_FG>,I know who William's current talking to worried recently,True,48,56,True
<S_FG>,I know who Nicole's current talking to worried recently,True,47,55,True
<S_FG>,I know who Eric's current talking to worried recently,True,45,53,True
<S_FG>,I know who Melissa's current talking to worried recently,True,48,56,True
<S_FG>,I know who Timothy's current talking to worried recently,True,48,56,True
<S_FG>,I know who Michael's recent attitude towards worried recently,True,53,61,True
<S_FG>,I know who Ashley's recent attitude towards worried recently,True,52,60,True
<S_FG>,I know who Daniel's recent attitude towards worried recently,True,52,60,True
<S_FG>,I know who John's recent attitude towards worried recently,True,50,58,True
<S_FG>,I know who Brandon's recent attitude towards worried recently,True,53,61,True
<S_FG>,I know who William's recent attitude towards worried recently,True,53,61,True
<S_FG>,I know who Nicole's recent attitude towards worried recently,True,52,60,True
<S_FG>,I know who Eric's recent attitude towards worried recently,True,50,58,True
<S_FG>,I know who Melissa's recent attitude towards worried recently,True,53,61,True
<S_FG>,I know who Timothy's recent attitude towards worried recently,True,53,61,True
<S_FG>,I know who Michael's current attitude towards worried recently,True,54,62,True
<S_FG>,I know who Ashley's current attitude towards worried recently,True,53,61,True
<S_FG>,I know who Daniel's current attitude towards worried recently,True,53,61,True
<S_FG>,I know who John's current attitude towards worried recently,True,51,59,True
<S_FG>,I know who Brandon's current attitude towards worried recently,True,54,62,True
<S_FG>,I know who William's current attitude towards worried recently,True,54,62,True
<S_FG>,I know who Nicole's current attitude towards worried recently,True,53,61,True
<S_FG>,I know who Eric's current attitude towards worried recently,True,51,59,True
<S_FG>,I know who Melissa's current attitude towards worried recently,True,54,62,True
<S_FG>,I know who Timothy's current attitude towards worried recently,True,54,62,True
<S_FG>,I know who Michael's recent friendship with worried recently,True,52,60,True
<S_FG>,I know who Ashley's recent friendship with worried recently,True,51,59,True
<S_FG>,I know who Daniel's recent friendship with worried recently,True,51,59,True
<S_FG>,I know who John's recent friendship with worried recently,True,49,57,True
<S_FG>,I know who Brandon's recent friendship with worried recently,True,52,60,True
<S_FG>,I know who William's recent friendship with worried recently,True,52,60,True
<S_FG>,I know who Nicole's recent friendship with worried recently,True,51,59,True
<S_FG>,I know who Eric's recent friendship with worried recently,True,49,57,True
<S_FG>,I know who Melissa's recent friendship with worried recently,True,52,60,True
<S_FG>,I know who Timothy's recent friendship with worried recently,True,52,60,True
<S_FG>,I know who Michael's current friendship with worried recently,True,53,61,True
<S_FG>,I know who Ashley's current friendship with worried recently,True,52,60,True
<S_FG>,I know who Daniel's current friendship with worried recently,True,52,60,True
<S_FG>,I know who John's current friendship with worried recently,True,50,58,True
<S_FG>,I know who Brandon's current friendship with worried recently,True,53,61,True
<S_FG>,I know who William's current friendship with worried recently,True,53,61,True
<S_FG>,I know who Nicole's current friendship with worried recently,True,52,60,True
<S_FG>,I know who Eric's current friendship with worried recently,True,50,58,True
<S_FG>,I know who Melissa's current friendship with worried recently,True,53,61,True
<S_FG>,I know who Timothy's current friendship with worried recently,True,53,61,True
<S_FG>,I know who Michael's recent praising of worried recently,True,48,56,True
<S_FG>,I know who Ashley's recent praising of worried recently,True,47,55,True
<S_FG>,I know who Daniel's recent praising of worried recently,True,47,55,True
<S_FG>,I know who John's recent praising of worried recently,True,45,53,True
<S_FG>,I know who Brandon's recent praising of worried recently,True,48,56,True
<S_FG>,I know who William's recent praising of worried recently,True,48,56,True
<S_FG>,I know who Nicole's recent praising of worried recently,True,47,55,True
<S_FG>,I know who Eric's recent praising of worried recently,True,45,53,True
<S_FG>,I know who Melissa's recent praising of worried recently,True,48,56,True
<S_FG>,I know who Timothy's recent praising of worried recently,True,48,56,True
<S_FG>,I know who Michael's current praising of worried recently,True,49,57,True
<S_FG>,I know who Ashley's current praising of worried recently,True,48,56,True
<S_FG>,I know who Daniel's current praising of worried recently,True,48,56,True
<S_FG>,I know who John's current praising of worried recently,True,46,54,True
<S_FG>,I know who Brandon's current praising of worried recently,True,49,57,True
<S_FG>,I know who William's current praising of worried recently,True,49,57,True
<S_FG>,I know who Nicole's current praising of worried recently,True,48,56,True
<S_FG>,I know who Eric's current praising of worried recently,True,46,54,True
<S_FG>,I know who Melissa's current praising of worried recently,True,49,57,True
<S_FG>,I know who Timothy's current praising of worried recently,True,49,57,True
<S_FG>,I know who Michael's recent talking to annoyed recently,True,47,55,True
<S_FG>,I know who Ashley's recent talking to annoyed recently,True,46,54,True
<S_FG>,I know who Daniel's recent talking to annoyed recently,True,46,54,True
<S_FG>,I know who John's recent talking to annoyed recently,True,44,52,True
<S_FG>,I know who Brandon's recent talking to annoyed recently,True,47,55,True
<S_FG>,I know who William's recent talking to annoyed recently,True,47,55,True
<S_FG>,I know who Nicole's recent talking to annoyed recently,True,46,54,True
<S_FG>,I know who Eric's recent talking to annoyed recently,True,44,52,True
<S_FG>,I know who Melissa's recent talking to annoyed recently,True,47,55,True
<S_FG>,I know who Timothy's recent talking to annoyed recently,True,47,55,True
<S_FG>,I know who Michael's current talking to annoyed recently,True,48,56,True
<S_FG>,I know who Ashley's current talking to annoyed recently,True,47,55,True
<S_FG>,I know who Daniel's current talking to annoyed recently,True,47,55,True
<S_FG>,I know who John's current talking to annoyed recently,True,45,53,True
<S_FG>,I know who Brandon's current talking to annoyed recently,True,48,56,True
<S_FG>,I know who William's current talking to annoyed recently,True,48,56,True
<S_FG>,I know who Nicole's current talking to annoyed recently,True,47,55,True
<S_FG>,I know who Eric's current talking to annoyed recently,True,45,53,True
<S_FG>,I know who Melissa's current talking to annoyed recently,True,48,56,True
<S_FG>,I know who Timothy's current talking to annoyed recently,True,48,56,True
<S_FG>,I know who Michael's recent attitude towards annoyed recently,True,53,61,True
<S_FG>,I know who Ashley's recent attitude towards annoyed recently,True,52,60,True
<S_FG>,I know who Daniel's recent attitude towards annoyed recently,True,52,60,True
<S_FG>,I know who John's recent attitude towards annoyed recently,True,50,58,True
<S_FG>,I know who Brandon's recent attitude towards annoyed recently,True,53,61,True
<S_FG>,I know who William's recent attitude towards annoyed recently,True,53,61,True
<S_FG>,I know who Nicole's recent attitude towards annoyed recently,True,52,60,True
<S_FG>,I know who Eric's recent attitude towards annoyed recently,True,50,58,True
<S_FG>,I know who Melissa's recent attitude towards annoyed recently,True,53,61,True
<S_FG>,I know who Timothy's recent attitude towards annoyed recently,True,53,61,True
<S_FG>,I know who Michael's current attitude towards annoyed recently,True,54,62,True
<S_FG>,I know who Ashley's current attitude towards annoyed recently,True,53,61,True
<S_FG>,I know who Daniel's current attitude towards annoyed recently,True,53,61,True
<S_FG>,I know who John's current attitude towards annoyed recently,True,51,59,True
<S_FG>,I know who Brandon's current attitude towards annoyed recently,True,54,62,True
<S_FG>,I know who William's current attitude towards annoyed recently,True,54,62,True
<S_FG>,I know who Nicole's current attitude towards annoyed recently,True,53,61,True
<S_FG>,I know who Eric's current attitude towards annoyed recently,True,51,59,True
<S_FG>,I know who Melissa's current attitude towards annoyed recently,True,54,62,True
<S_FG>,I know who Timothy's current attitude towards annoyed recently,True,54,62,True
<S_FG>,I know who Michael's recent friendship with annoyed recently,True,52,60,True
<S_FG>,I know who Ashley's recent friendship with annoyed recently,True,51,59,True
<S_FG>,I know who Daniel's recent friendship with annoyed recently,True,51,59,True
<S_FG>,I know who John's recent friendship with annoyed recently,True,49,57,True
<S_FG>,I know who Brandon's recent friendship with annoyed recently,True,52,60,True
<S_FG>,I know who William's recent friendship with annoyed recently,True,52,60,True
<S_FG>,I know who Nicole's recent friendship with annoyed recently,True,51,59,True
<S_FG>,I know who Eric's recent friendship with annoyed recently,True,49,57,True
<S_FG>,I know who Melissa's recent friendship with annoyed recently,True,52,60,True
<S_FG>,I know who Timothy's recent friendship with annoyed recently,True,52,60,True
<S_FG>,I know who Michael's current friendship with annoyed recently,True,53,61,True
<S_FG>,I know who Ashley's current friendship with annoyed recently,True,52,60,True
<S_FG>,I know who Daniel's current friendship with annoyed recently,True,52,60,True
<S_FG>,I know who John's current friendship with annoyed recently,True,50,58,True
<S_FG>,I know who Brandon's current friendship with annoyed recently,True,53,61,True
<S_FG>,I know who William's current friendship with annoyed recently,True,53,61,True
<S_FG>,I know who Nicole's current friendship with annoyed recently,True,52,60,True
<S_FG>,I know who Eric's current friendship with annoyed recently,True,50,58,True
<S_FG>,I know who Melissa's current friendship with annoyed recently,True,53,61,True
<S_FG>,I know who Timothy's current friendship with annoyed recently,True,53,61,True
<S_FG>,I know who Michael's recent praising of annoyed recently,True,48,56,True
<S_FG>,I know who Ashley's recent praising of annoyed recently,True,47,55,True
<S_FG>,I know who Daniel's recent praising of annoyed recently,True,47,55,True
<S_FG>,I know who John's recent praising of annoyed recently,True,45,53,True
<S_FG>,I know who Brandon's recent praising of annoyed recently,True,48,56,True
<S_FG>,I know who William's recent praising of annoyed recently,True,48,56,True
<S_FG>,I know who Nicole's recent praising of annoyed recently,True,47,55,True
<S_FG>,I know who Eric's recent praising of annoyed recently,True,45,53,True
<S_FG>,I know who Melissa's recent praising of annoyed recently,True,48,56,True
<S_FG>,I know who Timothy's recent praising of annoyed recently,True,48,56,True
<S_FG>,I know who Michael's current praising of annoyed recently,True,49,57,True
<S_FG>,I know who Ashley's current praising of annoyed recently,True,48,56,True
<S_FG>,I know who Daniel's current praising of annoyed recently,True,48,56,True
<S_FG>,I know who John's current praising of annoyed recently,True,46,54,True
<S_FG>,I know who Brandon's current praising of annoyed recently,True,49,57,True
<S_FG>,I know who William's current praising of annoyed recently,True,49,57,True
<S_FG>,I know who Nicole's current praising of annoyed recently,True,48,56,True
<S_FG>,I know who Eric's current praising of annoyed recently,True,46,54,True
<S_FG>,I know who Melissa's current praising of annoyed recently,True,49,57,True
<S_FG>,I know who Timothy's current praising of annoyed recently,True,49,57,True
<S_FG>,I know who Michael's recent talking to bothered yesterday,True,48,57,True
<S_FG>,I know who Ashley's recent talking to bothered yesterday,True,47,56,True
<S_FG>,I know who Daniel's recent talking to bothered yesterday,True,47,56,True
<S_FG>,I know who John's recent talking to bothered yesterday,True,45,54,True
<S_FG>,I know who Brandon's recent talking to bothered yesterday,True,48,57,True
<S_FG>,I know who William's recent talking to bothered yesterday,True,48,57,True
<S_FG>,I know who Nicole's recent talking to bothered yesterday,True,47,56,True
<S_FG>,I know who Eric's recent talking to bothered yesterday,True,45,54,True
<S_FG>,I know who Melissa's recent talking to bothered yesterday,True,48,57,True
<S_FG>,I know who Timothy's recent talking to bothered yesterday,True,48,57,True
<S_FG>,I know who Michael's current talking to bothered yesterday,True,49,58,True
<S_FG>,I know who Ashley's current talking to bothered yesterday,True,48,57,True
<S_FG>,I know who Daniel's current talking to bothered yesterday,True,48,57,True
<S_FG>,I know who John's current talking to bothered yesterday,True,46,55,True
<S_FG>,I know who Brandon's current talking to bothered yesterday,True,49,58,True
<S_FG>,I know who William's current talking to bothered yesterday,True,49,58,True
<S_FG>,I know who Nicole's current talking to bothered yesterday,True,48,57,True
<S_FG>,I know who Eric's current talking to bothered yesterday,True,46,55,True
<S_FG>,I know who Melissa's current talking to bothered yesterday,True,49,58,True
<S_FG>,I know who Timothy's current talking to bothered yesterday,True,49,58,True
<S_FG>,I know who Michael's recent attitude towards bothered yesterday,True,54,63,True
<S_FG>,I know who Ashley's recent attitude towards bothered yesterday,True,53,62,True
<S_FG>,I know who Daniel's recent attitude towards bothered yesterday,True,53,62,True
<S_FG>,I know who John's recent attitude towards bothered yesterday,True,51,60,True
<S_FG>,I know who Brandon's recent attitude towards bothered yesterday,True,54,63,True
<S_FG>,I know who William's recent attitude towards bothered yesterday,True,54,63,True
<S_FG>,I know who Nicole's recent attitude towards bothered yesterday,True,53,62,True
<S_FG>,I know who Eric's recent attitude towards bothered yesterday,True,51,60,True
<S_FG>,I know who Melissa's recent attitude towards bothered yesterday,True,54,63,True
<S_FG>,I know who Timothy's recent attitude towards bothered yesterday,True,54,63,True
<S_FG>,I know who Michael's current attitude towards bothered yesterday,True,55,64,True
<S_FG>,I know who Ashley's current attitude towards bothered yesterday,True,54,63,True
<S_FG>,I know who Daniel's current attitude towards bothered yesterday,True,54,63,True
<S_FG>,I know who John's current attitude towards bothered yesterday,True,52,61,True
<S_FG>,I know who Brandon's current attitude towards bothered yesterday,True,55,64,True
<S_FG>,I know who William's current attitude towards bothered yesterday,True,55,64,True
<S_FG>,I know who Nicole's current attitude towards bothered yesterday,True,54,63,True
<S_FG>,I know who Eric's current attitude towards bothered yesterday,True,52,61,True
<S_FG>,I know who Melissa's current attitude towards bothered yesterday,True,55,64,True
<S_FG>,I know who Timothy's current attitude towards bothered yesterday,True,55,64,True
<S_FG>,I know who Michael's recent friendship with bothered yesterday,True,53,62,True
<S_FG>,I know who Ashley's recent friendship with bothered yesterday,True,52,61,True
<S_FG>,I know who Daniel's recent friendship with bothered yesterday,True,52,61,True
<S_FG>,I know who John's recent friendship with bothered yesterday,True,50,59,True
<S_FG>,I know who Brandon's recent friendship with bothered yesterday,True,53,62,True
<S_FG>,I know who William's recent friendship with bothered yesterday,True,53,62,True
<S_FG>,I know who Nicole's recent friendship with bothered yesterday,True,52,61,True
<S_FG>,I know who Eric's recent friendship with bothered yesterday,True,50,59,True
<S_FG>,I know who Melissa's recent friendship with bothered yesterday,True,53,62,True
<S_FG>,I know who Timothy's recent friendship with bothered yesterday,True,53,62,True
<S_FG>,I know who Michael's current friendship with bothered yesterday,True,54,63,True
<S_FG>,I know who Ashley's current friendship with bothered yesterday,True,53,62,True
<S_FG>,I know who Daniel's current friendship with bothered yesterday,True,53,62,True
<S_FG>,I know who John's current friendship with bothered yesterday,True,51,60,True
<S_FG>,I know who Brandon's current friendship with bothered yesterday,True,54,63,True
<S_FG>,I know who William's current friendship with bothered yesterday,True,54,63,True
<S_FG>,I know who Nicole's current friendship with bothered yesterday,True,53,62,True
<S_FG>,I know who Eric's current friendship with bothered yesterday,True,51,60,True
<S_FG>,I know who Melissa's current friendship with bothered yesterday,True,54,63,True
<S_FG>,I know who Timothy's current friendship with bothered yesterday,True,54,63,True
<S_FG>,I know who Michael's recent praising of bothered yesterday,True,49,58,True
<S_FG>,I know who Ashley's recent praising of bothered yesterday,True,48,57,True
<S_FG>,I know who Daniel's recent praising of bothered yesterday,True,48,57,True
<S_FG>,I know who John's recent praising of bothered yesterday,True,46,55,True
<S_FG>,I know who Brandon's recent praising of bothered yesterday,True,49,58,True
<S_FG>,I know who William's recent praising of bothered yesterday,True,49,58,True
<S_FG>,I know who Nicole's recent praising of bothered yesterday,True,48,57,True
<S_FG>,I know who Eric's recent praising of bothered yesterday,True,46,55,True
<S_FG>,I know who Melissa's recent praising of bothered yesterday,True,49,58,True
<S_FG>,I know who Timothy's recent praising of bothered yesterday,True,49,58,True
<S_FG>,I know who Michael's current praising of bothered yesterday,True,50,59,True
<S_FG>,I know who Ashley's current praising of bothered yesterday,True,49,58,True
<S_FG>,I know who Daniel's current praising of bothered yesterday,True,49,58,True
<S_FG>,I know who John's current praising of bothered yesterday,True,47,56,True
<S_FG>,I know who Brandon's current praising of bothered yesterday,True,50,59,True
<S_FG>,I know who William's current praising of bothered yesterday,True,50,59,True
<S_FG>,I know who Nicole's current praising of bothered yesterday,True,49,58,True
<S_FG>,I know who Eric's current praising of bothered yesterday,True,47,56,True
<S_FG>,I know who Melissa's current praising of bothered yesterday,True,50,59,True
<S_FG>,I know who Timothy's current praising of bothered yesterday,True,50,59,True
<S_FG>,I know who Michael's recent talking to distracted yesterday,True,50,59,True
<S_FG>,I know who Ashley's recent talking to distracted yesterday,True,49,58,True
<S_FG>,I know who Daniel's recent talking to distracted yesterday,True,49,58,True
<S_FG>,I know who John's recent talking to distracted yesterday,True,47,56,True
<S_FG>,I know who Brandon's recent talking to distracted yesterday,True,50,59,True
<S_FG>,I know who William's recent talking to distracted yesterday,True,50,59,True
<S_FG>,I know who Nicole's recent talking to distracted yesterday,True,49,58,True
<S_FG>,I know who Eric's recent talking to distracted yesterday,True,47,56,True
<S_FG>,I know who Melissa's recent talking to distracted yesterday,True,50,59,True
<S_FG>,I know who Timothy's recent talking to distracted yesterday,True,50,59,True
<S_FG>,I know who Michael's current talking to distracted yesterday,True,51,60,True
